Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,10,42,16-10-2021,Brand,2371.727422,810.6879449,1987.835994,14.74134153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,10,43,23-10-2021,Brand,1845.182767,252.3309425,1009.32377,12.83496569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,10,43,23-10-2021,Brand,2285.396759,783.0526953,1919.341423,14.82373686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,10,44,30-10-2021,Brand,1763.735237,268.6440514,1074.576205,13.13223268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,10,44,30-10-2021,Brand,1995.024087,722.3939626,1767.67491,15.32437858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,11,45,06-11-2021,Brand,1841.995747,296.9182779,1187.673112,13.76931361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,11,45,06-11-2021,Brand,2322.187063,840.8846967,2056.574286,16.15442155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,11,46,13-11-2021,Brand,1512.30466,237.4705118,949.8820471,12.31335952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,11,46,13-11-2021,Brand,1907.64142,685.6848108,1672.385728,15.17567033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,11,47,20-11-2021,Brand,1794.865152,366.8583635,1467.433454,14.49710803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
